000.png,robot:,0.105008,-2.91774,-1.72036,-0.0513786,1.56243,-0.667761,
001.png,robot:,0.0886308,-2.96543,-1.41879,-0.305129,1.56287,-0.684233,
002.png,robot:,0.088535,-2.96541,-1.41878,-0.305045,1.56284,0.885813,
003.png,robot:,0.243085,-2.9648,-1.42017,-0.305897,1.55929,-0.529848,
004.png,robot:,0.243085,-2.96483,-1.42012,-0.305885,1.55927,-2.09986,
005.png,robot:,0.287507,-2.91716,-1.72173,-0.0522664,1.55832,-0.48522,
006.png,robot:,0.287591,-2.91716,-1.72173,-0.0523265,1.55833,1.08477,
007.png,robot:,0.352169,-2.93171,-1.97195,0.211578,1.55701,-0.420594,
008.png,robot:,0.352193,-2.9317,-1.97196,0.211542,1.55699,-1.99064,
009.png,robot:,0.12895,-2.93204,-1.97036,0.212766,1.56182,-0.643885,
010.png,robot:,0.128974,-2.93202,-1.97037,0.212802,1.56182,0.926142,
011.png,robot:,-0.0949128,-2.92319,-1.91826,0.153315,1.56713,-0.867611,
012.png,robot:,-0.0948771,-2.9232,-1.91825,0.153315,1.56715,-2.43761,
013.png,robot:,-0.0778244,-2.9223,-1.66903,-0.0969318,1.56673,-0.850687,
014.png,robot:,-0.0778001,-2.92234,-1.66903,-0.0969079,1.56675,0.719272,
015.png,robot:,-0.0660241,-2.97841,-1.36549,-0.344463,1.56647,-0.83884,
016.png,robot:,-0.0660117,-2.97846,-1.3655,-0.34445,1.56646,-2.40892,
