000.png,robot:,0.105068,-2.4335,-1.96623,-0.289914,1.56222,-0.667797,
001.png,robot:,0.0886908,-2.53328,-1.65574,-0.500549,1.56265,-0.684244,
002.png,robot:,0.0886308,-2.53328,-1.65574,-0.500489,1.56267,0.885801,
003.png,robot:,0.243097,-2.53252,-1.6569,-0.501701,1.55915,-0.5298,
004.png,robot:,0.243097,-2.53253,-1.65687,-0.501569,1.55915,-2.0998,
005.png,robot:,0.287579,-2.4328,-1.96748,-0.29145,1.55819,-0.485244,
006.png,robot:,0.287615,-2.43276,-1.96749,-0.29139,1.55818,1.08478,
007.png,robot:,0.352277,-2.37707,-2.24771,-0.0676625,1.55689,-0.420545,
008.png,robot:,0.352313,-2.37705,-2.24773,-0.0677469,1.55686,-1.99062,
009.png,robot:,0.128998,-2.37791,-2.24619,-0.0657066,1.56175,-0.643874,
010.png,robot:,0.129034,-2.37795,-2.24617,-0.0656946,1.56174,0.92613,
011.png,robot:,-0.0948532,-2.38614,-2.18564,-0.116876,1.56694,-0.867635,
012.png,robot:,-0.0948289,-2.38609,-2.18564,-0.116804,1.56697,-2.43769,
013.png,robot:,-0.0778483,-2.44908,-1.91189,-0.32758,1.56651,-0.850663,
014.png,robot:,-0.0778244,-2.44913,-1.91184,-0.32758,1.56649,0.719296,
015.png,robot:,-0.0659879,-2.55262,-1.60328,-0.532775,1.56622,-0.838756,
016.png,robot:,-0.065964,-2.55262,-1.6033,-0.532751,1.56619,-2.40877,
