000.png,robot:,0.122141,-1.70459,-1.45002,-1.55862,1.5735,-2.24427,
001.png,robot:,0.556303,-1.60649,-2.00625,-1.09568,1.31753,-2.244,
002.png,robot:,0.432116,-2.26806,-1.28622,-1.34654,1.33092,-2.24405,
003.png,robot:,-0.195235,-2.27266,-1.28391,-1.26441,1.79414,-2.24444,
004.png,robot:,-0.00160629,-2.47397,-0.551133,-1.93978,1.63537,-2.2445,
005.png,robot:,-0.258001,-2.85181,-0.5513,-1.73047,1.83155,-2.24443,
006.png,robot:,-0.593549,-2.56366,-1.57109,-0.88658,2.12785,-2.24438,
007.png,robot:,0.586591,-1.92363,-2.42836,-0.230936,1.2491,-2.24439,
008.png,robot:,1.09272,-1.92371,-2.42883,-0.533999,1.00732,-2.24426,
009.png,robot:,0.284438,-2.24127,-1.47122,-1.07627,1.42117,-2.24433,
010.png,robot:,-0.0902599,-2.24177,-1.47128,-1.07632,1.72264,-2.24433,
011.png,robot:,0.096088,-2.86117,-0.186968,-2.07343,1.58183,-2.24432,
012.png,robot:,0.0760178,-2.47443,-0.186693,-2.26048,1.58178,-2.24433,
013.png,robot:,0.471145,-2.5066,-0.188095,-2.33249,1.41739,-2.2443,
014.png,robot:,-0.225484,-2.5216,-0.188119,-2.24544,1.71255,-2.24457,
015.png,robot:,-0.46282,-1.37368,-2.03101,-1.19849,1.8712,-2.24467,
016.png,robot:,0.79643,-1.34318,-2.03316,-1.36416,1.23873,-2.24461,
017.png,robot:,0.157639,-1.33041,-1.55214,-1.70022,1.54634,-2.24457,
018.png,robot:,0.68599,-1.83123,-0.820464,-2.14296,1.34485,-2.24464,
019.png,robot:,-0.289307,-1.74559,-0.82074,-2.14295,1.75967,-2.24464,
020.png,robot:,0.0654548,-2.19864,-0.861195,-1.82974,1.5723,-2.24464,
