0.png,robot:,0.0443529,-2.49507,-1.90671,-0.288474,1.62213,-0.792736
1.png,robot:,-0.200236,-2.79239,-1.89395,0.0469774,1.86031,-0.79276
2.png,robot:,-0.0310805,-2.75086,-1.07943,-1.13901,1.70506,-0.79276
3.png,robot:,0.227107,-2.86639,-1.07937,-1.14522,1.37476,-0.79276
5.png,robot:,0.568535,-2.3412,-2.18092,-0.146217,1.20735,-0.795396
6.png,robot:,0.206717,-2.35039,-2.56842,0.49964,1.51917,-0.795563
7.png,robot:,0.20155,-3.17886,-1.99183,0.830907,1.42182,-0.795575
8.png,robot:,-0.235031,-3.29308,-1.99164,1.23176,2.03336,-0.795587
9.png,robot:,-0.238545,-3.29233,-1981,1.2839,1.88986,-0.795695
10.png,robot:,-0.237022,-3.01273,-1.21849,-0.763066,2.07161,-0.795659
11.png,robot:,0.370973,-3.1115,-1.25444,-0.557297,1.17777,-0.795647
12.png,robot:,0.482756,-2.94961,-0.923391,-1.38344,1.17772,-0.795611
13.png,robot:,0.71759,-2.98416,-1.9453,0.126962,0.980677,-0.795659
14.png,robot:,0.141478,-2.92807,-1.94611,0.523291,1.50362,-0.795671
15.png,robot:,0.0623139,-2.50513,-1.06441,-1.38442,1.5035,-0.795623
16.png,robot:,-0.210947,-1.93882,-1.71402,-1.01343,1.60678,-0.795671
17.png,robot:,-0.532514,-1.93856,-2.3179,-0.386206,2.05302,-0.795911
18.png,robot:,0.730371,-1.94179,-2.31753,-0.385883,1.52492,-0.795923
19.png,robot:,0.433314,-2.55496,-1.27482,-0.971176,1.39387,-0.795898
20.png,robot:,-0.065017,-2.61582,-1.14606,-1.10784,1.68486,-0.795886
21.png,robot:,-0.404995,-2.5994,-1.78035,-0.287982,2.00202,-0.795886
22.png,robot:,-0.305021,-2.76901,-1.10009,-1.1413,2.00326,-0.795874
23.png,robot:,0.214221,-3.04118,-0.376653,-2.11176,1.48806,-0.795802
24.png,robot:,-0.142332,-3.04797,-0.376641,-2.11069,1.80877,-0.795827
25.png,robot:,-0.141241,-3.0372,-0.371388,-1.44058,1.80902,-0.795886
26.png,robot:,0.160696,-3.03717,-0.371352,-1.4413,1.56698,-0.795874
27.png,robot:,0.0702508,-3.03777,-0.371472,-1.64905,1.50728,-0.795802
28.png,robot:,0.0722173,-3.03757,-0.371352,-1.64846,1.5983,0.592133
29.png,robot:,0.294255,-3053,-0.37248,-1.65257,1.44202,0.592157
30.png,robot:,0.0587886,-3.0532,-0.372228,-1.6525,1.51947,-1.89663
31.png,robot:,-0.201855,-3.06413,-0.372372,-1.65251,1.93771,-1.89665
32.png,robot:,0.122308,-1.80579,-2.25436,-0.548527,1.5874,-1.89671
33.png,robot:,0.122141,-1.80559,-2.66012,-0.00744468,1.5872,-1.89679
34.png,robot:,-0.253311,-1.80553,-2.66742,-0.00367672,1.75389,-1.8968
35.png,robot:,0.760593,-1.86499,-2.65909,-0.0974715,1.25575,-1.89678
36.png,robot:,0.550647,-1.86504,-2.63869,-0.0975793,1255,-3.62669
37.png,robot:,-0.147765,-1.86502,-2.63976,0.136106,1.69869,-3.61799
38.png,robot:,-0.147801,-2.80704,-2.04006,0.453297,1.69868,-3618
39.png,robot:,-0.387384,-3.27055,-1.90781,1.02048,2.15284,-3.61807
40.png,robot:,0.693824,-3.34353,-1.90427,0.972132,0.945165,-3.61798
41.png,robot:,0.39481,-3.34308,-1.90431,1.11903,1.22401,-3.61801
42.png,robot:,0.475639,-2.95502,-1.36744,-0.560981,1.22412,-3618
43.png,robot:,0.594451,-3.34022,-0.7895,-1.51572,0.857669,-3.61795
44.png,robot:,-0.395889,-3.32686,-0.693204,-1.31968,2.18967,-3.61795
45.png,robot:,0.0973831,-3.32299,-0.562419,-1.31964,1.5398,-3.61797
46.png,robot:,0.240065,-3.28868,-0.361183,-1.32026,1.40117,-3.61798
47.png,robot:,0.0343891,-2.75876,-1.97268,0.136406,1.58765,1.0684
48.png,robot:,0.397003,-3.08211,-1.98938,0.638803,1.33108,1.06838
49.png,robot:,-0.329624,-3.14585,-1.98937,0.899381,2.06504,1.06838
50.png,robot:,0.263726,-2.44793,-1.81898,-0.419131,1.4014,1.07118
